title,rating,year,actors,runtime,url,languages
I soliti ignoti,8.0,1958,Vittorio Gassman;Marcello Mastroianni;Renato Salvatori;Totò,106,https://www.imdb.com//title/tt0052216/,Italian
Jalsaghar,8.0,1958,Chhabi Biswas;Sardar Akhtar;Gangapada Basu;Bismillah Khan,100,https://www.imdb.com//title/tt0051792/,Bengali
Apur Sansar,8.5,1959,Soumitra Chatterjee;Sharmila Tagore;Alok Chakravarty;Swapan Mukherjee,105,https://www.imdb.com//title/tt0052572/,Bengali
Ningen no jôken,8.5,1959,Tatsuya Nakadai;Michiyo Aratama;Chikage Awashima;Ineko Arima,208,https://www.imdb.com//title/tt0053114/,Japanese;Mandarin
Ningen no jôken,8.5,1959,Tatsuya Nakadai;Michiyo Aratama;Kokinji Katsura;Jun Tatara,181,https://www.imdb.com//title/tt0053115/,Japanese;Mandarin;Russian
North by Northwest,8.3,1959,Cary Grant;Eva Marie Saint;James Mason;Jessie Royce Landis,136,https://www.imdb.com//title/tt0053125/,English;French
Ballada o soldate,8.2,1959,Vladimir Ivashov;Zhanna Prokhorenko;Antonina Maksimova;Nikolay Kryuchkov,88,https://www.imdb.com//title/tt0052600/,Russian
Le trou,8.5,1960,André Bervil;Jean Keraudy;Michel Constantin;Philippe Leroy,131,https://www.imdb.com//title/tt0054407/,French
Psycho,8.5,1960,Anthony Perkins;Janet Leigh;Vera Miles;John Gavin,109,https://www.imdb.com//title/tt0054215/,English
Het appartement,8.3,1960,Jack Lemmon;Shirley MacLaine;Fred MacMurray;Ray Walston,125,https://www.imdb.com//title/tt0053604/,English
Rocco e i suoi fratelli,8.3,1960,Alain Delon;Renato Salvatori;Annie Girardot;Claudia Cardinale,179,https://www.imdb.com//title/tt0054248/,Italian
Mughal-E-Azam,8.2,1960,Prithviraj Kapoor;Madhubala;Dilip Kumar;Durga Khote,197,https://www.imdb.com//title/tt0054098/,Urdu
Ningen no jôken,8.8,1961,Tatsuya Nakadai;Michiyo Aratama;Tamao Nakamura;Yûsuke Kawazu,190,https://www.imdb.com//title/tt0055233/,Japanese;Mandarin;Russian
Oordeel te Neurenberg,8.2,1961,Spencer Tracy;Burt Lancaster;Richard Widmark;Marlene Dietrich,179,https://www.imdb.com//title/tt0055031/,English;German
Yôjinbô,8.2,1961,Toshirô Mifune;Eijirô Tôno;Tatsuya Nakadai;Yôko Tsukasa,110,https://www.imdb.com//title/tt0055630/,Japanese
Viridiana,8.1,1961,Silvia Pinal;Francisco Rabal;Fernando Rey;José Calvo,90,https://www.imdb.com//title/tt0055601/,Spanish;English
