title,rating,year,actors,runtime,url
Vuk,8.3,1981,Judit Pogány;József Gyabronka;Teri Földi;Gyula Szabó,79,https://www.imdb.com//title/tt0131636/
Maratonci trce pocasni krug,8.9,1982,Bogdan Diklic;Danilo 'Bata' Stojkovic;Pavle Vuisic;Mija Aleksic,92,https://www.imdb.com//title/tt0084302/
Angoor,8.3,1982,Sanjeev Kumar;Moushumi Chatterjee;Deven Verma;Aruna Irani,131,https://www.imdb.com//title/tt0215517/
Blade Runner,8.1,1982,Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos,117,https://www.imdb.com//title/tt0083658/
Jaane Bhi Do Yaaro,8.4,1983,Naseeruddin Shah;Ravi Baswani;Bhakti Barve;Satish Shah,132,https://www.imdb.com//title/tt0085743/
Scarface,8.3,1983,Al Pacino;Michelle Pfeiffer;Steven Bauer;Mary Elizabeth Mastrantonio,170,https://www.imdb.com//title/tt0086250/
Star Wars: Episode VI - Return of the Jedi,8.3,1983,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams,131,https://www.imdb.com//title/tt0086190/
Balkanski spijun,8.9,1984,Danilo 'Bata' Stojkovic;Bora Todorovic;Mira Banjac;Sonja Savic,95,https://www.imdb.com//title/tt0086935/
Varljivo leto '68,8.5,1984,Slavko Stimac;Danilo 'Bata' Stojkovic;Mira Banjac;Mija Aleksic,91,https://www.imdb.com//title/tt0088338/
Amadeus,8.3,1984,F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice,160,https://www.imdb.com//title/tt0086879/
Terug naar de toekomst,8.5,1985,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover,116,https://www.imdb.com//title/tt0088763/
Idi i smotri,8.3,1985,Aleksey Kravchenko;Olga Mironova;Liubomiras Laucevicius;Vladas Bagdonas,142,https://www.imdb.com//title/tt0091251/
Ran,8.2,1985,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu;Daisuke Ryû,162,https://www.imdb.com//title/tt0089881/
Zügürt Aga,8.7,1986,Sener Sen;Erdal Özyagcilar;Nilgün Nazli;Füsun Demirel,101,https://www.imdb.com//title/tt0201368/
Macskafogó,8.4,1986,Miklós Benedek;Gyula Bodrogi;Ilona Béres;Péter Haumann,96,https://www.imdb.com//title/tt0179955/
Aliens,8.3,1986,Sigourney Weaver;Michael Biehn;Carrie Henn;Paul Reiser,137,https://www.imdb.com//title/tt0090605/
Nayakan,8.7,1987,Kamal Haasan;Saranya Ponvannan;Delhi Ganesh;Janakaraj,145,https://www.imdb.com//title/tt0093603/
Muhsin Bey,8.5,1987,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Osman Cavci,119,https://www.imdb.com//title/tt0184756/
